Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_3
Auf der Stra�e repariert der Bauarbeiter ein;tor;1;17;17;65;8;33;0,015384615;2,083047987;em_lc;28;028;em;s_em_028p.wav;s_em_lc_028tw;0,740978399;s_em_028p.wav;s_em_lc_028tw_3.wav;Stimuli/s_em_028p.wav;Stimuli/s_em_lc_028tw_3.wav;0,455190698
F�r ihren runden Geburtstag bestellt Johanna in der Konditorei eine;glocke;0;3;3;76;11;10;0;0,139933118;el_mm;237;237;el;s_el_237p.wav;s_el_mm_237tw;0,535153734;s_el_237p.wav;s_el_mm_237tw_1.wav;Stimuli/s_el_237p.wav;Stimuli/s_el_mm_237tw_1.wav;0,460112319
Ihre Arbeit machte ihr ;Spa�;45;;2;52;5;23;0,865384615;0,395067121;el;263;263;el;s_el_263p.wav;s_el_263tw;0,236174466;s_el_263p.wav;s_el_263tw_12.wav;Stimuli/s_el_263p.wav;Stimuli/s_el_263tw_12.wav;0,460203555
Zu Risiken und Nebenwirkungen fragen Sie Ihren Arzt oder;elektriker;0;1;2;75;10;24;0;0,122956999;el_mm;433;433;el;s_el_433p.wav;s_el_mm_433tw;0,212365739;s_el_433p.wav;s_el_mm_433tw_12.wav;Stimuli/s_el_433p.wav;Stimuli/s_el_mm_433tw_12.wav;0,469181022
Bei diesem Ger�usch denkt Lilli immer an;urlaub;6;41;44;66;8;51;0,090909091;3,637979689;eh;46;046;eh;s_eh_046p.wav;s_eh_046tw;0,679538182;s_eh_046p.wav;s_eh_046tw_1.wav;Stimuli/s_eh_046p.wav;Stimuli/s_eh_046tw_1.wav;0,471034154
In London entwarf die Stararchitektin ein neues;geb�ude;25;6;13;65;8;276;0,384615385;1,80582233;em_hc;328;328;em;s_em_328p.wav;s_em_hc_328tw;0,60646014;s_em_328p.wav;s_em_hc_328tw_1.wav;Stimuli/s_em_328p.wav;Stimuli/s_em_hc_328tw_1.wav;0,474184193
Der Park in der N�he hat einen gro�en;see;28;7;9;67;9;126;0,417910448;1,562915662;em_hc;130;130;em;s_em_130p.wav;s_em_hc_130tw;0,161592418;s_em_130p.wav;s_em_hc_130tw_6.wav;Stimuli/s_em_130p.wav;Stimuli/s_em_hc_130tw_6.wav;0,479918128
Daniela g�hnte und rieb sich die Augen vor;m�digkeit;72;2;3;75;9;3;0,96;0,193404714;el;62;062;el;s_el_062p.wav;s_el_062tw;0,474308511;s_el_062p.wav;s_el_062tw_1.wav;Stimuli/s_el_062p.wav;Stimuli/s_el_062tw_1.wav;0,481942216
Rauchen gef�hrdert die ;Vorh�nge;0;;3;53;4;33;0;0,186837059;el_mm;389;389;el;s_el_389p.wav;s_el_mm_389tw;0,665636497;s_el_389p.wav;s_el_mm_389tw_3.wav;Stimuli/s_el_389p.wav;Stimuli/s_el_mm_389tw_3.wav;0,496016148
In der Menschenmenge erkannte mich meine;chefin;1;1;16;67;7;260;0,014925373;1,958237695;em_lc;313;313;em;s_em_313p.wav;s_em_lc_313tw;0,754681961;s_em_313p.wav;s_em_lc_313tw_3.wav;Stimuli/s_em_313p.wav;Stimuli/s_em_lc_313tw_3.wav;0,498304154
Im Streit zog das M�dchen seiner Freundin an den;kn�pfen;0;1;3;68;10;239;0;0,299468511;el_mm;287;287;el;s_el_287p.wav;s_el_mm_287tw;0,042539697;s_el_287p.wav;s_el_mm_287tw_6.wav;Stimuli/s_el_287p.wav;Stimuli/s_el_mm_287tw_6.wav;0,507308353
Am Montag h�lt Karim ein Referat �ber;tiere;4;52;58;67;8;9;0,059701493;3,997783013;eh;10;010;eh;s_eh_010p.wav;s_eh_010tw;0,231716919;s_eh_010p.wav;s_eh_010tw_12.wav;Stimuli/s_eh_010p.wav;Stimuli/s_eh_010tw_12.wav;0,507509884
In dem Lexikon suchte Andrea nach einem Eintrag �ber;elefanten;3;16;54;68;10;249;0,044117647;3,903314858;eh;303;303;eh;s_eh_303p.wav;s_eh_303tw;0,155393413;s_eh_303p.wav;s_eh_303tw_6.wav;Stimuli/s_eh_303p.wav;Stimuli/s_eh_303tw_6.wav;0,513608744
Seit einer Stunde sitze ich im Wartezimmer beim;papst;0;1;7;67;9;325;0;0,60691841;el_mm;394;394;el;s_el_394p.wav;s_el_mm_394tw;0,639338085;s_el_394p.wav;s_el_mm_394tw_1.wav;Stimuli/s_el_394p.wav;Stimuli/s_el_mm_394tw_1.wav;0,513640865
Das Tropfen des Wasserhahns hinterlie� einen dunkeln;klang;1;5;13;68;8;83;0,014705882;1,411263519;em_lc;79;079;em;s_em_079p.wav;s_em_lc_079tw;0,166424838;s_em_079p.wav;s_em_lc_079tw_6.wav;Stimuli/s_em_079p.wav;Stimuli/s_em_lc_079tw_6.wav;0,517197746
Der Baum im Herbst hat bunte;schleifen;0;1;1;66;7;89;0;0;el_mm;91;091;el;s_el_091p.wav;s_el_mm_091tw;0,203295137;s_el_091p.wav;s_el_mm_091tw_6.wav;Stimuli/s_el_091p.wav;Stimuli/s_el_mm_091tw_6.wav;0,520469212
Nach einer Veranstaltung putzt die Reinigungsfirma den;stuhl;1;11;13;67;8;318;0,014925373;1,598486733;em_lc;379;379;em;s_em_379p.wav;s_em_lc_379tw;0,552279896;s_em_379p.wav;s_em_lc_379tw_1.wav;Stimuli/s_em_379p.wav;Stimuli/s_em_lc_379tw_1.wav;0,521678778
Das Haus am Ende der Stra�e hat neue;fenster;35;4;14;60;9;71;0,583333333;1,631634333;em_hc;72;072;em;s_em_072p.wav;s_em_hc_072tw;0,545702255;s_em_072p.wav;s_em_hc_072tw_1.wav;Stimuli/s_em_072p.wav;Stimuli/s_em_hc_072tw_1.wav;0,522669123
Die Bewohner bemerkten den Einbruch erst am n�chsten ;Wall;0;;2;44;9;13;0;0,641636632;el_mm;170;170;el;s_el_170p.wav;s_el_mm_170tw;0,696446745;s_el_170p.wav;s_el_mm_170tw_3.wav;Stimuli/s_el_170p.wav;Stimuli/s_el_mm_170tw_3.wav;0,522759059
Der Plan hat Hand und ;Fu� ;46;;1;46;6;8;1;0;el;133;133;el;s_el_133p.wav;s_el_133tw;0,014170725;s_el_133p.wav;s_el_133tw_6.wav;Stimuli/s_el_133p.wav;Stimuli/s_el_133tw_6.wav;0,525302185
Trotz der aussichtslosen Situation verliert Laura nicht die;hoffnung;37;4;11;76;9;20;0,486842105;1,641781405;em_hc;404;404;em;s_em_404p.wav;s_em_hc_404tw;0,331447285;s_em_404p.wav;s_em_hc_404tw_12.wav;Stimuli/s_em_404p.wav;Stimuli/s_em_hc_404tw_12.wav;0,526104343
In seinem alten Kinderzimmer suchte er nach seinem;teddy;9;35;39;67;9;277;0,134328358;3,363602743;eh;330;330;eh;s_eh_330p.wav;s_eh_330tw;0,36094196;s_eh_330p.wav;s_eh_330tw_12.wav;Stimuli/s_eh_330p.wav;Stimuli/s_eh_330tw_12.wav;0,527270437
Im Streichelzoo gibt es freche;igel;1;5;11;65;6;238;0,015384615;1,435100284;em_lc;285;285;em;s_em_285p.wav;s_em_lc_285tw;0,683430947;s_em_285p.wav;s_em_lc_285tw_1.wav;Stimuli/s_em_285p.wav;Stimuli/s_em_lc_285tw_1.wav;0,531131227
Wir planen am Wochenende einen;umtrunk;1;9;10;65;6;351;0,015384615;0,944285867;em_lc;427;427;em;s_em_427p.wav;s_em_lc_427tw;0,500218223;s_em_427p.wav;s_em_lc_427tw_12.wav;Stimuli/s_em_427p.wav;Stimuli/s_em_lc_427tw_12.wav;0,537790454
Sie kam mit den Beinen kaum bis auf den ;Kessel;0;;4;45;10;35;0;0,392379177;el_mm;396;396;el;s_el_396p.wav;s_el_mm_396tw;0,419583584;s_el_396p.wav;s_el_mm_396tw_12.wav;Stimuli/s_el_396p.wav;Stimuli/s_el_mm_396tw_12.wav;0,555161773
Der Fuchs lauerte hinter einem;garten;1;7;19;68;6;101;0,014705882;2,021220008;em_lc;111;111;em;s_em_111p.wav;s_em_lc_111tw;0,253010102;s_em_111p.wav;s_em_lc_111tw_6.wav;Stimuli/s_em_111p.wav;Stimuli/s_em_lc_111tw_6.wav;0,560472924
Der fr�he Vogel f�ngt den;luchs;0;1;1;66;6;100;0;0;el_mm;109;109;el;s_el_109p.wav;s_el_mm_109tw;0,197543144;s_el_109p.wav;s_el_mm_109tw_6.wav;Stimuli/s_el_109p.wav;Stimuli/s_el_mm_109tw_6.wav;0,567623968
Marie b�ckte sich und sah einen;k�fer;21;15;35;68;7;291;0,308823529;2,970789519;eh;349;349;eh;s_eh_349p.wav;s_eh_349tw;0,799798246;s_eh_349p.wav;s_eh_349tw_1.wav;Stimuli/s_eh_349p.wav;Stimuli/s_eh_349tw_1.wav;0,57676416
Lars schlug sein Pferd mit einer ;Peitsche ;40;;3;44;7;26;0,909090909;0,355757474;el;344;344;el;s_el_344p.wav;s_el_344tw;0,161217147;s_el_344p.wav;s_el_344tw_6.wav;Stimuli/s_el_344p.wav;Stimuli/s_el_344tw_6.wav;0,577797246
Auf dem Zeltboden krabbelt eine;wanze;2;5;5;67;6;27;0,029850746;0,882515438;em_lc;23;023;em;s_em_023p.wav;s_em_lc_023tw;0,661228383;s_em_023p.wav;s_em_lc_023tw_1.wav;Stimuli/s_em_023p.wav;Stimuli/s_em_lc_023tw_1.wav;0,579927711
Der D�nger n�hrt den ;delfin;0;;3;40;5;6;0;0,233172602;el_mm;98;098;el;s_el_098p.wav;s_el_mm_098tw;0,450293263;s_el_098p.wav;s_el_mm_098tw_12.wav;Stimuli/s_el_098p.wav;Stimuli/s_el_mm_098tw_12.wav;0,583391414
Liebe geht durch den;magen;66;2;3;68;5;288;0,970588235;0,153078103;el;346;346;el;s_el_346p.wav;s_el_346tw;0,042388457;s_el_346p.wav;s_el_346tw_6.wav;Stimuli/s_el_346p.wav;Stimuli/s_el_346tw_6.wav;0,589607556
Ganz hinten unter der Decke liegt ein;kissen;15;13;29;68;8;200;0,220588235;2,865993412;eh;239;239;eh;s_eh_239p.wav;s_eh_239tw;0,396161484;s_eh_239p.wav;s_eh_239tw_12.wav;Stimuli/s_eh_239p.wav;Stimuli/s_eh_239tw_12.wav;0,599544947
Die Katze jagt eine Maus im;schuppen;1;11;14;68;7;168;0,014705882;2,060795255;em_lc;193;193;em;s_em_193p.wav;s_em_lc_193tw;0,700428163;s_em_193p.wav;s_em_lc_193tw_1.wav;Stimuli/s_em_193p.wav;Stimuli/s_em_lc_193tw_1.wav;0,602892285
Die Enten schwammen auf dem ;Teich ;24;;2;44;6;15;0,545454545;0,689009238;el;179;179;el;s_el_179p.wav;s_el_179tw;0,236623657;s_el_179p.wav;s_el_179tw_12.wav;Stimuli/s_el_179p.wav;Stimuli/s_el_179tw_12.wav;0,61268978
Auf dem Oktoberfest trinken die Menschen viel;bier;64;2;2;66;8;21;0,96969697;0,135793959;el;17;017;el;s_el_017p.wav;s_el_017tw;0,94657713;s_el_017p.wav;s_el_017tw_3.wav;Stimuli/s_el_017p.wav;Stimuli/s_el_017tw_3.wav;0,615175607
Ich gehe zum Fahrradladen und hole eine;pumpe;34;8;13;63;8;209;0,53968254;1,525829171;em_hc;249;249;em;s_em_249p.wav;s_em_hc_249tw;0,519045471;s_em_249p.wav;s_em_hc_249tw_1.wav;Stimuli/s_em_249p.wav;Stimuli/s_em_hc_249tw_1.wav;0,62385149
Im Gef�gnis waren Gitter vor den ;Fenstern;49;;3;52;7;24;0,942307692;0,257292008;el;271;271;el;s_el_271p.wav;s_el_271tw;0,123592011;s_el_271p.wav;s_el_271tw_6.wav;Stimuli/s_el_271p.wav;Stimuli/s_el_271tw_6.wav;0,625238957
Der Boxer schlug seinem Gegner auf die;nase;43;9;14;68;8;92;0,632352941;1,433631424;em_hc;95;095;em;s_em_095p.wav;s_em_hc_095tw;0,951020436;s_em_095p.wav;s_em_hc_095tw_3.wav;Stimuli/s_em_095p.wav;Stimuli/s_em_hc_095tw_3.wav;0,627283279
Die Hauptfigur in dem Kinderbuch war ein;b�r;7;1;34;64;8;160;0,109375;3,263800437;eh;184;184;eh;s_eh_184p.wav;s_eh_184tw;0,901451832;s_eh_184p.wav;s_eh_184tw_3.wav;Stimuli/s_eh_184p.wav;Stimuli/s_eh_184tw_3.wav;0,629070721
Der Schaffner wurde misstrauisch wegen des;tickets;23;23;26;66;7;130;0,348484848;2,63898404;eh;136;136;eh;s_eh_136p.wav;s_eh_136tw;0,877181695;s_eh_136p.wav;s_eh_136tw_3.wav;Stimuli/s_eh_136p.wav;Stimuli/s_eh_136tw_3.wav;0,634172405
Das Cappie sch�tzt die Augen vor der;kreide;0;2;3;65;8;65;0;0,265785076;el_mm;64;064;el;s_el_064p.wav;s_el_mm_064tw;0,518414396;s_el_064p.wav;s_el_mm_064tw_1.wav;Stimuli/s_el_064p.wav;Stimuli/s_el_mm_064tw_1.wav;0,639559509
Der Italiener von nebenan serviert die beste;wurst;1;6;6;65;8;111;0,015384615;0,875147251;em_lc;117;117;em;s_em_117p.wav;s_em_lc_117tw;0,770463671;s_em_117p.wav;s_em_lc_117tw_3.wav;Stimuli/s_em_117p.wav;Stimuli/s_em_lc_117tw_3.wav;0,648265343
Im Labor untersuchten die Wissenschaftler die;proben;15;19;31;68;7;233;0,220588235;2,98772207;eh;281;281;eh;s_eh_281p.wav;s_eh_281tw;0,786245715;s_eh_281p.wav;s_eh_281tw_1.wav;Stimuli/s_eh_281p.wav;Stimuli/s_eh_281tw_1.wav;0,648609058
Der Wissenschaftler forscht an einem neuen Medikament gegen;krebs;40;8;11;67;9;146;0,597014925;1,415487196;em_hc;158;158;em;s_em_158p.wav;s_em_hc_158tw;0,100430807;s_em_158p.wav;s_em_hc_158tw_6.wav;Stimuli/s_em_158p.wav;Stimuli/s_em_hc_158tw_6.wav;0,650479887
Der Winter war sehr hart in diesem ;schal;0;;1;44;8;10;0;0;el_mm;156;156;el;s_el_156p.wav;s_el_mm_156tw;0,644205426;s_el_156p.wav;s_el_mm_156tw_3.wav;Stimuli/s_el_156p.wav;Stimuli/s_el_mm_156tw_3.wav;0,660565707
Das erste Mal spielte der Schauspieler die Rolle des;b�sewichts;16;3;27;66;10;66;0,242424242;2,766499917;eh;66;066;eh;s_eh_066p.wav;s_eh_066tw;0,93936731;s_eh_066p.wav;s_eh_066tw_3.wav;Stimuli/s_eh_066p.wav;Stimuli/s_eh_066tw_3.wav;0,667910904
In der Dunkelheit greift Theo nach der;zahnb�rste;1;14;15;67;8;255;0,014925373;1,810480301;em_lc;308;308;em;s_em_308p.wav;s_em_lc_308tw;0,450427045;s_em_308p.wav;s_em_lc_308tw_12.wav;Stimuli/s_em_308p.wav;Stimuli/s_em_lc_308tw_12.wav;0,687105615
Ingrid liest bei Romanen immer zuerst die letzte;seite;73;1;2;75;9;15;0,973333333;0,122956999;el;334;334;el;s_el_334p.wav;s_el_334tw;0,418851877;s_el_334p.wav;s_el_334tw_12.wav;Stimuli/s_el_334p.wav;Stimuli/s_el_334tw_12.wav;0,687742218
Nach einer Schreibblockade vollendete der Autor seinen;roman;44;7;9;67;8;317;0,656716418;1,286343381;em_hc;377;377;em;s_em_377p.wav;s_em_hc_377tw;0,469856225;s_em_377p.wav;s_em_hc_377tw_1.wav;Stimuli/s_em_377p.wav;Stimuli/s_em_hc_377tw_1.wav;0,69340169
Der Rapper singt �ber sein Leben auf der Stra�e und seine;liebe;10;18;26;68;12;128;0,147058824;2,898879077;eh;135;135;eh;s_eh_135p.wav;s_eh_135tw;0,317861797;s_eh_135p.wav;s_eh_135tw_12.wav;Stimuli/s_eh_135p.wav;Stimuli/s_eh_135tw_12.wav;0,693450461
In der Gemeinde legen die Mitglieder gro�en Wert auf;sauberkeit;19;15;25;67;10;256;0,28358209;2,659700523;eh;310;310;eh;s_eh_310p.wav;s_eh_310tw;0,889998667;s_eh_310p.wav;s_eh_310tw_3.wav;Stimuli/s_eh_310p.wav;Stimuli/s_eh_310tw_3.wav;0,697360633
In einer Seeschlacht erbeuteten die Piraten viele;sch�tze;36;16;22;68;8;272;0,529411765;2,045913173;em_hc;323;323;em;s_em_323p.wav;s_em_hc_323tw;0,776275657;s_em_323p.wav;s_em_hc_323tw_3.wav;Stimuli/s_em_323p.wav;Stimuli/s_em_hc_323tw_3.wav;0,699828349
Die Unfallursache war wie h�ufig eine zu hohe ;Leitf�higkeit;0;;2;52;9;16;0;0,095030117;el_mm;215;215;el;s_el_215p.wav;s_el_mm_215tw;0,900381685;s_el_215p.wav;s_el_mm_215tw_3.wav;Stimuli/s_el_215p.wav;Stimuli/s_el_mm_215tw_3.wav;0,70621731
Sie wischte sich den Schwei� von der;stirn;65;4;4;68;8;333;0,955882353;0,22928458;el;402;402;el;s_el_402p.wav;s_el_402tw;0,147395097;s_el_402p.wav;s_el_402tw_6.wav;Stimuli/s_el_402p.wav;Stimuli/s_el_402tw_6.wav;0,708308141
�ber das Feld rennt ein;soldat;1;14;16;68;6;337;0,014705882;1,879718879;em_lc;408;408;em;s_em_408p.wav;s_em_lc_408tw;0,660013386;s_em_408p.wav;s_em_lc_408tw_1.wav;Stimuli/s_em_408p.wav;Stimuli/s_em_lc_408tw_1.wav;0,710677691
Nach der Gartenarbeit wusch sie sich gr�ndlich die;achseln;0;2;2;76;9;17;0;0,121692403;el_mm;370;370;el;s_el_370p.wav;s_el_mm_370tw;0,199469626;s_el_370p.wav;s_el_mm_370tw_6.wav;Stimuli/s_el_370p.wav;Stimuli/s_el_mm_370tw_6.wav;0,714723944
Die alte Dame sitzt auf der Parkbank und f�ttert die;tauben;28;7;8;68;11;149;0,411764706;1,399570529;em_hc;164;164;em;s_em_164p.wav;s_em_hc_164tw;0,270080765;s_em_164p.wav;s_em_hc_164tw_12.wav;Stimuli/s_em_164p.wav;Stimuli/s_em_hc_164tw_12.wav;0,736714718
Der Investmentb�nker verliert sein ganzes Geld an der;b�rse;64;1;3;67;9;110;0,955223881;0,211337221;el;115;115;el;s_el_115p.wav;s_el_115tw;0,890097121;s_el_115p.wav;s_el_115tw_3.wav;Stimuli/s_el_115p.wav;Stimuli/s_el_115tw_3.wav;0,738208448
Am Abend verbrachte sie gern noch Zeit mit ihren;hasen;1;5;9;50;10;4;0,02;1,585504266;em_lc;4;004;em;s_em_004p.wav;s_em_lc_004tw;0,505231342;s_em_004p.wav;s_em_lc_004tw_12.wav;Stimuli/s_em_004p.wav;Stimuli/s_em_lc_004tw_12.wav;0,749564129
Der Vogel im Baum singt ein sch�nes;lied;64;2;4;67;8;140;0,955223881;0,232028182;el;148;148;el;s_el_148p.wav;s_el_148tw;0,412099012;s_el_148p.wav;s_el_148tw_12.wav;Stimuli/s_el_148p.wav;Stimuli/s_el_148tw_12.wav;0,754227162
Beim Kochen schnitt sich Onur in den;finger;61;3;5;68;8;57;0,897058824;0,462957162;el;50;050;el;s_el_050p.wav;s_el_050tw;0,984446119;s_el_050p.wav;s_el_050tw_3.wav;Stimuli/s_el_050p.wav;Stimuli/s_el_050tw_3.wav;0,759475887
In der Nachbarsstadt gibt es die gr��te Messe f�r;b�cher;7;13;49;66;10;261;0,106060606;3,706383995;eh;315;315;eh;s_eh_315p.wav;s_eh_315tw;0,931293712;s_eh_315p.wav;s_eh_315tw_3.wav;Stimuli/s_eh_315p.wav;Stimuli/s_eh_315tw_3.wav;0,762413639
Heimlich stahl das kleine M�dchen aus der Handtasche der Mutter eine;m�nze;21;18;32;68;12;204;0,308823529;2,797303444;eh;242;242;eh;s_eh_242p.wav;s_eh_242tw;0,8066622;s_eh_242p.wav;s_eh_242tw_1.wav;Stimuli/s_eh_242p.wav;Stimuli/s_eh_242tw_1.wav;0,764669362
Der Spion lauscht bei einem Gespr�ch �ber die;politik;8;35;55;68;9;135;0,117647059;3,844852607;eh;143;143;eh;s_eh_143p.wav;s_eh_143tw;0,533327681;s_eh_143p.wav;s_eh_143tw_1.wav;Stimuli/s_eh_143p.wav;Stimuli/s_eh_143tw_1.wav;0,772798273
Die Belegschaft streikt f�r ein h�heres;gehalt;67;3;3;76;7;8;0,881578947;0,405076264;el;168;168;el;s_el_168p.wav;s_el_168tw;0,985224082;s_el_168p.wav;s_el_168tw_3.wav;Stimuli/s_el_168p.wav;Stimuli/s_el_168tw_3.wav;0,794842058
Der Arzt bem�hte sich sehr um seinen ;Schnellkochtopf;0;;3;47;8;5;0;0,20547075;el_mm;88;088;el;s_el_088p.wav;s_el_mm_088tw;0,440421907;s_el_088p.wav;s_el_mm_088tw_12.wav;Stimuli/s_el_088p.wav;Stimuli/s_el_mm_088tw_12.wav;0,797675291
Es gibt kein schlechtes Wetter, nur schlechte;kleidung;55;3;7;76;8;9;0,723684211;0,908066018;em_hc;229;229;em;s_em_229p.wav;s_em_hc_229tw;0,794023114;s_em_229p.wav;s_em_hc_229tw_3.wav;Stimuli/s_em_229p.wav;Stimuli/s_em_hc_229tw_3.wav;0,819437208
Die Spazierg�nger verirrten sich im;klo;0;8;8;68;6;182;0;0,67464194;el_mm;211;211;el;s_el_211p.wav;s_el_mm_211tw;0,750335447;s_el_211p.wav;s_el_mm_211tw_3.wav;Stimuli/s_el_211p.wav;Stimuli/s_el_mm_211tw_3.wav;0,821982373
Aus der Mine hoben die Bergarbeiter wertvolles;kupfer;1;9;13;65;8;46;0,015384615;1,635823904;em_lc;43;043;em;s_em_043p.wav;s_em_lc_043tw;0,749275633;s_em_043p.wav;s_em_lc_043tw_3.wav;Stimuli/s_em_043p.wav;Stimuli/s_em_lc_043tw_3.wav;0,824589165
�ber den Stuhl h�ngt sie ihre;jacke;51;5;11;68;7;338;0,75;1,092155375;em_hc;410;410;em;s_em_410p.wav;s_em_hc_410tw;0,484162355;s_em_410p.wav;s_em_hc_410tw_1.wav;Stimuli/s_em_410p.wav;Stimuli/s_em_hc_410tw_1.wav;0,828313136
Der Comedien machte sich lustig �ber die;politiker;14;19;28;66;8;94;0,212121212;2,849741969;eh;97;097;eh;s_eh_097p.wav;s_eh_097tw;0,679738278;s_eh_097p.wav;s_eh_097tw_1.wav;Stimuli/s_eh_097p.wav;Stimuli/s_eh_097tw_1.wav;0,834548151
Der Fernseher im Wohnzimmer hat einen gro�en;sprung;1;12;12;67;8;96;0,014925373;1,071012154;em_lc;102;102;em;s_em_102p.wav;s_em_lc_102tw;0,436184839;s_em_102p.wav;s_em_lc_102tw_12.wav;Stimuli/s_em_102p.wav;Stimuli/s_em_lc_102tw_12.wav;0,835751675
Beim Wandern finden sie auf dem Weg eine;schlange;9;31;37;67;9;63;0,134328358;3,317582105;eh;58;058;eh;s_eh_058p.wav;s_eh_058tw;0,186642817;s_eh_058p.wav;s_eh_058tw_6.wav;Stimuli/s_eh_058p.wav;Stimuli/s_eh_058tw_6.wav;0,835948936
Auf einer Mission untersuchten die Astronauten die Oberfl�che des;raumschiffs;2;7;7;67;10;36;0,029850746;1,027560443;em_lc;31;031;em;s_em_031p.wav;s_em_lc_031tw;0,594118985;s_em_031p.wav;s_em_lc_031tw_1.wav;Stimuli/s_em_031p.wav;Stimuli/s_em_lc_031tw_1.wav;0,841265695
Die Maus knabberte an einem St�ck;k�se;62;2;5;66;7;176;0,939393939;0,312649714;el;204;204;el;s_el_204p.wav;s_el_204tw;0,513025579;s_el_204p.wav;s_el_204tw_1.wav;Stimuli/s_el_204p.wav;Stimuli/s_el_204tw_1.wav;0,850098829
Berlin ist eine laute;Stadt;44;;1;44;5;3;1;0;el;59;059;el;s_el_059p.wav;s_el_059tw;0,381432987;s_el_059p.wav;s_el_059tw_12.wav;Stimuli/s_el_059p.wav;Stimuli/s_el_059tw_12.wav;0,853200033
Viola stand vor der geschlossenen T�r und dr�ckte die;klingel;38;2;4;76;10;23;0,5;0,932112882;em_hc;418;418;em;s_em_418p.wav;s_em_hc_418tw;0,984991446;s_em_418p.wav;s_em_hc_418tw_3.wav;Stimuli/s_em_418p.wav;Stimuli/s_em_hc_418tw_3.wav;0,860959717
Die italienische Mafia handelt vor allem mit;k�pfchen;1;6;11;68;8;163;0,014705882;1,133246777;em_lc;186;186;em;s_em_186p.wav;s_em_lc_186tw;0,886162625;s_em_186p.wav;s_em_lc_186tw_3.wav;Stimuli/s_em_186p.wav;Stimuli/s_em_lc_186tw_3.wav;0,865612707
Ich beneide meine Nachbarin f�r ihren sch�nen;hals;1;8;14;59;8;207;0,016949153;1,361699769;em_lc;247;247;em;s_em_247p.wav;s_em_lc_247tw;0,652751347;s_em_247p.wav;s_em_lc_247tw_1.wav;Stimuli/s_em_247p.wav;Stimuli/s_em_lc_247tw_1.wav;0,868176458
Rund um den Garten zog er einen ;gnom;0;;3;53;8;34;0;0,425227591;el_mm;391;391;el;s_el_391p.wav;s_el_mm_391tw;0,021040217;s_el_391p.wav;s_el_mm_391tw_6.wav;Stimuli/s_el_391p.wav;Stimuli/s_el_mm_391tw_6.wav;0,872957671
Das Wachs tropft von der brennenden;kerze;75;2;2;76;7;4;0,986842105;0,070054281;el;81;081;el;s_el_081p.wav;s_el_081tw;0,529412796;s_el_081p.wav;s_el_081tw_1.wav;Stimuli/s_el_081p.wav;Stimuli/s_el_081tw_1.wav;0,876557911
Inspiriert von ihrem neuen Buch begann sie mit dem;h�keln;1;3;18;68;10;282;0,014705882;1,933184099;em_lc;336;336;em;s_em_336p.wav;s_em_lc_336tw;0,551861132;s_em_336p.wav;s_em_lc_336tw_12.wav;Stimuli/s_em_336p.wav;Stimuli/s_em_lc_336tw_12.wav;0,877052203
Zur Bekr�ftigung des Friedens rauchten die Indianer eine;Feige;0;;2;44;9;37;0;0,474139313;el_mm;439;439;el;s_el_439p.wav;s_el_mm_439tw;0,253065846;s_el_439p.wav;s_el_mm_439tw_12.wav;Stimuli/s_el_439p.wav;Stimuli/s_el_mm_439tw_12.wav;0,88255092
Trotz der Turbulenzen bringt der Pilot das Flugzeug sicher nach;hause;30;6;15;66;11;336;0,454545455;1,625007325;em_hc;406;406;em;s_em_406p.wav;s_em_hc_406tw;0,257449454;s_em_406p.wav;s_em_hc_406tw_12.wav;Stimuli/s_em_406p.wav;Stimuli/s_em_hc_406tw_12.wav;0,886367193
Zur Belohnung gebe ich meinem Hund ein;leckerli;60;2;2;61;8;360;0,983606557;0,083649705;el;441;441;el;s_el_441p.wav;s_el_441tw;0,844306982;s_el_441p.wav;s_el_441tw_3.wav;Stimuli/s_el_441p.wav;Stimuli/s_el_441tw_3.wav;0,886741255
Ihr Kleid war aus reiner ;Seide;42;;2;44;6;22;0,954545455;0,184907399;el;261;261;el;s_el_261p.wav;s_el_261tw;0,893701065;s_el_261p.wav;s_el_261tw_3.wav;Stimuli/s_el_261p.wav;Stimuli/s_el_261tw_3.wav;0,887019254
Im Hochsommer erntet der Imker den heimischen;spargel;0;1;2;73;8;11;0;0,07237779;el_mm;273;273;el;s_el_273p.wav;s_el_mm_273tw;0,927414272;s_el_273p.wav;s_el_mm_273tw_3.wav;Stimuli/s_el_273p.wav;Stimuli/s_el_mm_273tw_3.wav;0,889945635
Im Zoo f�ttern die Tierpfleger die hungrigen;l�wen;30;7;14;68;8;244;0,441176471;1,825659958;em_hc;293;293;em;s_em_293p.wav;s_em_hc_293tw;0,718783214;s_em_293p.wav;s_em_hc_293tw_1.wav;Stimuli/s_em_293p.wav;Stimuli/s_em_hc_293tw_1.wav;0,891896242
Die wei�e Wolke am Himmel sieht aus wie ein;schaf;12;23;30;67;10;188;0,179104478;3,014355621;eh;219;219;eh;s_eh_219p.wav;s_eh_219tw;0,010418134;s_eh_219p.wav;s_eh_219tw_6.wav;Stimuli/s_eh_219p.wav;Stimuli/s_eh_219tw_6.wav;0,892120151
