Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_word;sentence;word;randomize_4
Der Fuchs lauerte hinter einem;garten;1;7;19;68;6;101;0,014705882;2,021220008;em_lc;111;111;em;s_em_111p.wav;s_em_lc_111tw;0,253010102;s_em_111p.wav;s_em_lc_111tw_12.wav;Stimuli/s_em_111p.wav;Stimuli/s_em_lc_111tw_12.wav;0,425305715
Die Enten schwammen auf dem ;Teich ;24;;2;44;6;15;0,545454545;0,689009238;el;179;179;el;s_el_179p.wav;s_el_179tw;0,236623657;s_el_179p.wav;s_el_179tw_1.wav;Stimuli/s_el_179p.wav;Stimuli/s_el_179tw_1.wav;0,432301128
Beim Kochen schnitt sich Onur in den;finger;61;3;5;68;8;57;0,897058824;0,462957162;el;50;050;el;s_el_050p.wav;s_el_050tw;0,984446119;s_el_050p.wav;s_el_050tw_6.wav;Stimuli/s_el_050p.wav;Stimuli/s_el_050tw_6.wav;0,433873887
In der Menschenmenge erkannte mich meine;chefin;1;1;16;67;7;260;0,014925373;1,958237695;em_lc;313;313;em;s_em_313p.wav;s_em_lc_313tw;0,754681961;s_em_313p.wav;s_em_lc_313tw_6.wav;Stimuli/s_em_313p.wav;Stimuli/s_em_lc_313tw_6.wav;0,433922925
Die Maus knabberte an einem Stück;käse;62;2;5;66;7;176;0,939393939;0,312649714;el;204;204;el;s_el_204p.wav;s_el_204tw;0,513025579;s_el_204p.wav;s_el_204tw_3.wav;Stimuli/s_el_204p.wav;Stimuli/s_el_204tw_3.wav;0,436489871
Die Polizistin verhaftete den Verdächtigen auf der;parkbank;1;5;10;67;8;179;0,014925373;1,203621626;em_lc;207;207;em;s_em_207p.wav;s_em_lc_207tw;0,585745049;s_em_207p.wav;s_em_lc_207tw_3.wav;Stimuli/s_em_207p.wav;Stimuli/s_em_lc_207tw_3.wav;0,439362255
In seiner Werkstatt fertigt der Schmied ein eisernes;schwert;27;9;11;66;9;281;0,409090909;1,730942683;em_hc;332;332;em;s_em_332p.wav;s_em_hc_332tw;0,601463755;s_em_332p.wav;s_em_hc_332tw_3.wav;Stimuli/s_em_332p.wav;Stimuli/s_em_hc_332tw_3.wav;0,446315412
Nach dem Essen bezahlte er die ;zweige;0;;4;43;7;28;0;0,482110283;el_mm;363;363;el;s_el_363p.wav;s_el_mm_363tw;0,258799358;s_el_363p.wav;s_el_mm_363tw_1.wav;Stimuli/s_el_363p.wav;Stimuli/s_el_mm_363tw_1.wav;0,448077421
Ganz hinten unter der Decke liegt ein;kissen;15;13;29;68;8;200;0,220588235;2,865993412;eh;239;239;eh;s_eh_239p.wav;s_eh_239tw;0,396161484;s_eh_239p.wav;s_eh_239tw_1.wav;Stimuli/s_eh_239p.wav;Stimuli/s_eh_239tw_1.wav;0,451057184
In einer Seeschlacht erbeuteten die Piraten viele;schätze;36;16;22;68;8;272;0,529411765;2,045913173;em_hc;323;323;em;s_em_323p.wav;s_em_hc_323tw;0,776275657;s_em_323p.wav;s_em_hc_323tw_6.wav;Stimuli/s_em_323p.wav;Stimuli/s_em_hc_323tw_6.wav;0,451174256
Aus der Mine hoben die Bergarbeiter wertvolles;kupfer;1;9;13;65;8;46;0,015384615;1,635823904;em_lc;43;043;em;s_em_043p.wav;s_em_lc_043tw;0,749275633;s_em_043p.wav;s_em_lc_043tw_6.wav;Stimuli/s_em_043p.wav;Stimuli/s_em_lc_043tw_6.wav;0,453671106
In London entwarf die Stararchitektin ein neues;gebäude;25;6;13;65;8;276;0,384615385;1,80582233;em_hc;328;328;em;s_em_328p.wav;s_em_hc_328tw;0,60646014;s_em_328p.wav;s_em_hc_328tw_3.wav;Stimuli/s_em_328p.wav;Stimuli/s_em_hc_328tw_3.wav;0,464423166
Die Belegschaft streikt für ein höheres;gehalt;67;3;3;76;7;8;0,881578947;0,405076264;el;168;168;el;s_el_168p.wav;s_el_168tw;0,985224082;s_el_168p.wav;s_el_168tw_6.wav;Stimuli/s_el_168p.wav;Stimuli/s_el_168tw_6.wav;0,464709355
Die Katze jagt eine Maus im;schuppen;1;11;14;68;7;168;0,014705882;2,060795255;em_lc;193;193;em;s_em_193p.wav;s_em_lc_193tw;0,700428163;s_em_193p.wav;s_em_lc_193tw_3.wav;Stimuli/s_em_193p.wav;Stimuli/s_em_lc_193tw_3.wav;0,470746585
Trotz der aussichtslosen Situation verliert Laura nicht die;hoffnung;37;4;11;76;9;20;0,486842105;1,641781405;em_hc;404;404;em;s_em_404p.wav;s_em_hc_404tw;0,331447285;s_em_404p.wav;s_em_hc_404tw_1.wav;Stimuli/s_em_404p.wav;Stimuli/s_em_hc_404tw_1.wav;0,471932884
Im Weltall hört man keine;motoren;1;5;17;66;6;242;0,015151515;1,949497901;em_lc;291;291;em;s_em_291p.wav;s_em_lc_291tw;0,582855472;s_em_291p.wav;s_em_lc_291tw_3.wav;Stimuli/s_em_291p.wav;Stimuli/s_em_lc_291tw_3.wav;0,472399445
In seinem alten Kinderzimmer suchte er nach seinem;teddy;9;35;39;67;9;277;0,134328358;3,363602743;eh;330;330;eh;s_eh_330p.wav;s_eh_330tw;0,36094196;s_eh_330p.wav;s_eh_330tw_1.wav;Stimuli/s_eh_330p.wav;Stimuli/s_eh_330tw_1.wav;0,486738327
Der Fernseher im Wohnzimmer hat einen großen;sprung;1;12;12;67;8;96;0,014925373;1,071012154;em_lc;102;102;em;s_em_102p.wav;s_em_lc_102tw;0,436184839;s_em_102p.wav;s_em_lc_102tw_1.wav;Stimuli/s_em_102p.wav;Stimuli/s_em_lc_102tw_1.wav;0,503605164
In der Gemeinde legen die Mitglieder großen Wert auf;sauberkeit;19;15;25;67;10;256;0,28358209;2,659700523;eh;310;310;eh;s_eh_310p.wav;s_eh_310tw;0,889998667;s_eh_310p.wav;s_eh_310tw_6.wav;Stimuli/s_eh_310p.wav;Stimuli/s_eh_310tw_6.wav;0,513448136
Der Spion lauscht bei einem Gespräch über die;politik;8;35;55;68;9;135;0,117647059;3,844852607;eh;143;143;eh;s_eh_143p.wav;s_eh_143tw;0,533327681;s_eh_143p.wav;s_eh_143tw_3.wav;Stimuli/s_eh_143p.wav;Stimuli/s_eh_143tw_3.wav;0,5184371
Auf ihre Spaghetti reibt sie sich;trüffel;1;4;4;68;7;38;0,014705882;0,809706241;em_lc;33;033;em;s_em_033p.wav;s_em_lc_033tw;0,46463424;s_em_033p.wav;s_em_lc_033tw_1.wav;Stimuli/s_em_033p.wav;Stimuli/s_em_lc_033tw_1.wav;0,525832962
Den Teebeutel übergoß sie mit heißem;sirup;0;2;2;76;7;5;0;0,070054281;el_mm;84;084;el;s_el_084p.wav;s_el_mm_084tw;0,606017951;s_el_084p.wav;s_el_mm_084tw_3.wav;Stimuli/s_el_084p.wav;Stimuli/s_el_mm_084tw_3.wav;0,526445468
Der Zug lag noch gut in der ;Zeit;50;;3;53;8;12;0,943396226;0,253547675;el;162;162;el;s_el_162p.wav;s_el_162tw;0,495998612;s_el_162p.wav;s_el_162tw_3.wav;Stimuli/s_el_162p.wav;Stimuli/s_el_162tw_3.wav;0,527048175
Viola stand vor der geschlossenen Tür und drückte die;klingel;38;2;4;76;10;23;0,5;0,932112882;em_hc;418;418;em;s_em_418p.wav;s_em_hc_418tw;0,984991446;s_em_418p.wav;s_em_hc_418tw_6.wav;Stimuli/s_em_418p.wav;Stimuli/s_em_hc_418tw_6.wav;0,530627319
Die junge Katze hat Angst vor dem;tod;1;13;16;68;8;166;0,014705882;1,576074887;em_lc;190;190;em;s_em_190p.wav;s_em_lc_190tw;0,496041187;s_em_190p.wav;s_em_lc_190tw_1.wav;Stimuli/s_em_190p.wav;Stimuli/s_em_lc_190tw_1.wav;0,532064491
Zum 20-jährigen Jubiläum bekam die Sekräterin von ihrem Chef eine Schachtel;pralinen;56;3;5;67;12;356;0,835820896;0,591928037;el;435;435;el;s_el_435p.wav;s_el_435tw;0,199543531;s_el_435p.wav;s_el_435tw_12.wav;Stimuli/s_el_435p.wav;Stimuli/s_el_435tw_12.wav;0,543326955
Für die Vorratshaltung am besten geeignet sind Konserven mit;deckel;9;3;30;68;10;196;0,132352941;2,999887306;eh;234;234;eh;s_eh_234p.wav;s_eh_234tw;0,512060237;s_eh_234p.wav;s_eh_234tw_1.wav;Stimuli/s_eh_234p.wav;Stimuli/s_eh_234tw_1.wav;0,548284799
Die italienische Mafia handelt vor allem mit;köpfchen;1;6;11;68;8;163;0,014705882;1,133246777;em_lc;186;186;em;s_em_186p.wav;s_em_lc_186tw;0,886162625;s_em_186p.wav;s_em_lc_186tw_6.wav;Stimuli/s_em_186p.wav;Stimuli/s_em_lc_186tw_6.wav;0,549954517
Der Plan hat Hand und ;Fuß ;46;;1;46;6;8;1;0;el;133;133;el;s_el_133p.wav;s_el_133tw;0,014170725;s_el_133p.wav;s_el_133tw_12.wav;Stimuli/s_el_133p.wav;Stimuli/s_el_133tw_12.wav;0,551553394
Der Klempner reinigte das verstopfte;rohr;63;4;5;75;6;6;0,84;0,631485769;el;125;125;el;s_el_125p.wav;s_el_125tw;0,71580038;s_el_125p.wav;s_el_125tw_6.wav;Stimuli/s_el_125p.wav;Stimuli/s_el_125tw_6.wav;0,570086826
Die Hauptfigur in dem Kinderbuch war ein;bär;7;1;34;64;8;160;0,109375;3,263800437;eh;184;184;eh;s_eh_184p.wav;s_eh_184tw;0,901451832;s_eh_184p.wav;s_eh_184tw_6.wav;Stimuli/s_eh_184p.wav;Stimuli/s_eh_184tw_6.wav;0,578995194
Ingrid liest bei Romanen immer zuerst die letzte;seite;73;1;2;75;9;15;0,973333333;0,122956999;el;334;334;el;s_el_334p.wav;s_el_334tw;0,418851877;s_el_334p.wav;s_el_334tw_1.wav;Stimuli/s_el_334p.wav;Stimuli/s_el_334tw_1.wav;0,579011897
Beim Skifahren brach sich Jörg das ;Bein ;40;;4;44;7;2;0,909090909;0,399156167;el;54;054;el;s_el_054p.wav;s_el_054tw;0,254244818;s_el_054p.wav;s_el_054tw_1.wav;Stimuli/s_el_054p.wav;Stimuli/s_el_054tw_1.wav;0,58445477
Der Sicherheitsbeauftragte entdeckte große Mängel bei den;türen;4;45;49;67;8;133;0,059701493;3,759634712;eh;139;139;eh;s_eh_139p.wav;s_eh_139tw;0,861839087;s_eh_139p.wav;s_eh_139tw_6.wav;Stimuli/s_eh_139p.wav;Stimuli/s_eh_139tw_6.wav;0,585543677
Mit voller Wucht traf die Abrissbirne das;regal;1;7;7;67;8;303;0,014925373;1,028217955;em_lc;359;359;em;s_em_359p.wav;s_em_lc_359tw;0,804572589;s_em_359p.wav;s_em_lc_359tw_6.wav;Stimuli/s_em_359p.wav;Stimuli/s_em_lc_359tw_6.wav;0,58589494
Das feuchte Handtuch hängt an dem;ofen;1;8;14;66;7;68;0,015151515;1,571622132;em_lc;68;068;em;s_em_068p.wav;s_em_lc_068tw;0,428594904;s_em_068p.wav;s_em_lc_068tw_1.wav;Stimuli/s_em_068p.wav;Stimuli/s_em_lc_068tw_1.wav;0,586615311
Der Baum im Herbst hat bunte;schleifen;0;1;1;66;7;89;0;0;el_mm;91;091;el;s_el_091p.wav;s_el_mm_091tw;0,203295137;s_el_091p.wav;s_el_mm_091tw_12.wav;Stimuli/s_el_091p.wav;Stimuli/s_el_mm_091tw_12.wav;0,589055745
Zum Angeln spießte sie den Wurm auf den;haken;64;3;6;76;9;25;0,842105263;0,643695037;el;437;437;el;s_el_437p.wav;s_el_437tw;0,682030314;s_el_437p.wav;s_el_437tw_3.wav;Stimuli/s_el_437p.wav;Stimuli/s_el_437tw_3.wav;0,597873316
Für ihren runden Geburtstag bestellt Johanna in der Konditorei eine;glocke;0;3;3;76;11;10;0;0,139933118;el_mm;237;237;el;s_el_237p.wav;s_el_mm_237tw;0,535153734;s_el_237p.wav;s_el_mm_237tw_3.wav;Stimuli/s_el_237p.wav;Stimuli/s_el_mm_237tw_3.wav;0,611049002
Die Kinder spielen mit einem Ball im;dreieck;1;2;18;68;8;170;0,014705882;2,003541274;em_lc;197;197;em;s_em_197p.wav;s_em_lc_197tw;0,845667602;s_em_197p.wav;s_em_lc_197tw_6.wav;Stimuli/s_em_197p.wav;Stimuli/s_em_lc_197tw_6.wav;0,611054802
Lars schlug sein Pferd mit einer ;Peitsche ;40;;3;44;7;26;0,909090909;0,355757474;el;344;344;el;s_el_344p.wav;s_el_344tw;0,161217147;s_el_344p.wav;s_el_344tw_12.wav;Stimuli/s_el_344p.wav;Stimuli/s_el_344tw_12.wav;0,624414439
Im Sandkasten spielen die Kinder mit Schaufel und;gabel;1;5;10;68;9;236;0,014705882;1,334344617;em_lc;283;283;em;s_em_283p.wav;s_em_lc_283tw;0,260781385;s_em_283p.wav;s_em_lc_283tw_12.wav;Stimuli/s_em_283p.wav;Stimuli/s_em_lc_283tw_12.wav;0,628767644
Heute gab es zu den Kartoffeln nur;quark;13;15;23;64;8;205;0,203125;2,730844775;eh;244;244;eh;s_eh_244p.wav;s_eh_244tw;0,716698017;s_eh_244p.wav;s_eh_244tw_3.wav;Stimuli/s_eh_244p.wav;Stimuli/s_eh_244tw_3.wav;0,63695311
Im Zoo füttern die Tierpfleger die hungrigen;löwen;30;7;14;68;8;244;0,441176471;1,825659958;em_hc;293;293;em;s_em_293p.wav;s_em_hc_293tw;0,718783214;s_em_293p.wav;s_em_hc_293tw_3.wav;Stimuli/s_em_293p.wav;Stimuli/s_em_hc_293tw_3.wav;0,646144294
Der Italiener von nebenan serviert die beste;wurst;1;6;6;65;8;111;0,015384615;0,875147251;em_lc;117;117;em;s_em_117p.wav;s_em_lc_117tw;0,770463671;s_em_117p.wav;s_em_lc_117tw_6.wav;Stimuli/s_em_117p.wav;Stimuli/s_em_lc_117tw_6.wav;0,648796604
Am liebsten liest sie Fantasy-Romane über;drachen;13;3;28;66;7;8;0,196969697;2,933257173;eh;9;009;eh;s_eh_009p.wav;s_eh_009tw;0,726604075;s_eh_009p.wav;s_eh_009tw_3.wav;Stimuli/s_eh_009p.wav;Stimuli/s_eh_009tw_3.wav;0,655590783
Auf dem Oktoberfest trinken die Menschen viel;bier;64;2;2;66;8;21;0,96969697;0,135793959;el;17;017;el;s_el_017p.wav;s_el_017tw;0,94657713;s_el_017p.wav;s_el_017tw_6.wav;Stimuli/s_el_017p.wav;Stimuli/s_el_017tw_6.wav;0,666708316
Der See ist ein beliebter Ort zum;angeln;1;1;13;68;8;132;0,014705882;1,717522048;em_lc;137;137;em;s_em_137p.wav;s_em_lc_137tw;0,160010556;s_em_137p.wav;s_em_lc_137tw_12.wav;Stimuli/s_em_137p.wav;Stimuli/s_em_lc_137tw_12.wav;0,670859776
In der Jugendherberge übernachten viele;frauen;1;2;12;67;6;257;0,014925373;1,764350618;em_lc;311;311;em;s_em_311p.wav;s_em_lc_311tw;0,20680023;s_em_311p.wav;s_em_lc_311tw_12.wav;Stimuli/s_em_311p.wav;Stimuli/s_em_lc_311tw_12.wav;0,672445759
Die Unfallursache war wie häufig eine zu hohe ;Leitfähigkeit;0;;2;52;9;16;0;0,095030117;el_mm;215;215;el;s_el_215p.wav;s_el_mm_215tw;0,900381685;s_el_215p.wav;s_el_mm_215tw_6.wav;Stimuli/s_el_215p.wav;Stimuli/s_el_mm_215tw_6.wav;0,673985402
Die Wahrsagerin prophezeit ihrem Kunden eine erfolgreiche;zukunft;45;10;10;67;8;187;0,671641791;1,153729504;em_hc;217;217;em;s_em_217p.wav;s_em_hc_217tw;0,387848106;s_em_217p.wav;s_em_hc_217tw_1.wav;Stimuli/s_em_217p.wav;Stimuli/s_em_hc_217tw_1.wav;0,676204916
Der Streit zwischen den Nachbarn entstand wegen einer;kleinigkeit;14;14;27;68;9;137;0,205882353;2,741549786;eh;144;144;eh;s_eh_144p.wav;s_eh_144tw;0,186984092;s_eh_144p.wav;s_eh_144tw_12.wav;Stimuli/s_eh_144p.wav;Stimuli/s_eh_144tw_12.wav;0,678151307
Seit einer Stunde sitze ich im Wartezimmer beim;papst;0;1;7;67;9;325;0;0,60691841;el_mm;394;394;el;s_el_394p.wav;s_el_mm_394tw;0,639338085;s_el_394p.wav;s_el_mm_394tw_3.wav;Stimuli/s_el_394p.wav;Stimuli/s_el_mm_394tw_3.wav;0,681286731
Der frühe Vogel fängt den;luchs;0;1;1;66;6;100;0;0;el_mm;109;109;el;s_el_109p.wav;s_el_mm_109tw;0,197543144;s_el_109p.wav;s_el_mm_109tw_12.wav;Stimuli/s_el_109p.wav;Stimuli/s_el_mm_109tw_12.wav;0,686022281
Ihr Kleid war aus reiner ;Seide;42;;2;44;6;22;0,954545455;0,184907399;el;261;261;el;s_el_261p.wav;s_el_261tw;0,893701065;s_el_261p.wav;s_el_261tw_6.wav;Stimuli/s_el_261p.wav;Stimuli/s_el_261tw_6.wav;0,693215348
Auf der Ladefläche des Transporters befand sich eine;kiste;14;10;35;68;9;32;0,205882353;3,189191245;eh;27;027;eh;s_eh_027p.wav;s_eh_027tw;0,668115452;s_eh_027p.wav;s_eh_027tw_3.wav;Stimuli/s_eh_027p.wav;Stimuli/s_eh_027tw_3.wav;0,695465966
Im Kofferraum versteckte der Ganove die;beute;21;1;11;66;7;231;0,318181818;1,898842827;em_hc;279;279;em;s_em_279p.wav;s_em_hc_279tw;0,249400722;s_em_279p.wav;s_em_hc_279tw_1.wav;Stimuli/s_em_279p.wav;Stimuli/s_em_hc_279tw_1.wav;0,697184523
Im Hochsommer erntet der Imker den heimischen;spargel;0;1;2;73;8;11;0;0,07237779;el_mm;273;273;el;s_el_273p.wav;s_el_mm_273tw;0,927414272;s_el_273p.wav;s_el_mm_273tw_6.wav;Stimuli/s_el_273p.wav;Stimuli/s_el_mm_273tw_6.wav;0,698916536
Der Investmentbänker verliert sein ganzes Geld an der;börse;64;1;3;67;9;110;0,955223881;0,211337221;el;115;115;el;s_el_115p.wav;s_el_115tw;0,890097121;s_el_115p.wav;s_el_115tw_6.wav;Stimuli/s_el_115p.wav;Stimuli/s_el_115tw_6.wav;0,701086697
Nach einer Schreibblockade vollendete der Autor seinen;roman;44;7;9;67;8;317;0,656716418;1,286343381;em_hc;377;377;em;s_em_377p.wav;s_em_hc_377tw;0,469856225;s_em_377p.wav;s_em_hc_377tw_3.wav;Stimuli/s_em_377p.wav;Stimuli/s_em_hc_377tw_3.wav;0,702526808
Der Tod seines Hundes erfüllte ihn mit großer ;Trauer;41;;3;43;9;9;0,953488372;0,220352331;el;145;145;el;s_el_145p.wav;s_el_145tw;0,137389814;s_el_145p.wav;s_el_145tw_12.wav;Stimuli/s_el_145p.wav;Stimuli/s_el_145tw_12.wav;0,704386046
Sie kam mit den Beinen kaum bis auf den ;Kessel;0;;4;45;10;35;0;0,392379177;el_mm;396;396;el;s_el_396p.wav;s_el_mm_396tw;0,419583584;s_el_396p.wav;s_el_mm_396tw_1.wav;Stimuli/s_el_396p.wav;Stimuli/s_el_mm_396tw_1.wav;0,71583518
Auf der Straße repariert der Bauarbeiter ein;tor;1;17;17;65;8;33;0,015384615;2,083047987;em_lc;28;028;em;s_em_028p.wav;s_em_lc_028tw;0,740978399;s_em_028p.wav;s_em_lc_028tw_6.wav;Stimuli/s_em_028p.wav;Stimuli/s_em_lc_028tw_6.wav;0,727900404
Der Comedien machte sich lustig über die;politiker;14;19;28;66;8;94;0,212121212;2,849741969;eh;97;097;eh;s_eh_097p.wav;s_eh_097tw;0,679738278;s_eh_097p.wav;s_eh_097tw_3.wav;Stimuli/s_eh_097p.wav;Stimuli/s_eh_097tw_3.wav;0,73261245
Der Rapper singt über sein Leben auf der Straße und seine;liebe;10;18;26;68;12;128;0,147058824;2,898879077;eh;135;135;eh;s_eh_135p.wav;s_eh_135tw;0,317861797;s_eh_135p.wav;s_eh_135tw_1.wav;Stimuli/s_eh_135p.wav;Stimuli/s_eh_135tw_1.wav;0,73271304
Die Menschen auf der Straße bestaunen den;künstler;8;15;39;66;8;177;0,121212121;3,451719095;eh;206;206;eh;s_eh_206p.wav;s_eh_206tw;0,855729106;s_eh_206p.wav;s_eh_206tw_6.wav;Stimuli/s_eh_206p.wav;Stimuli/s_eh_206tw_6.wav;0,734844022
Meine Schwester studiert Medizin an der;universität;49;6;6;67;7;296;0,731343284;0,974417802;em_hc;354;354;em;s_em_354p.wav;s_em_hc_354tw;0,055949994;s_em_354p.wav;s_em_hc_354tw_12.wav;Stimuli/s_em_354p.wav;Stimuli/s_em_hc_354tw_12.wav;0,752026463
Das erste Mal spielte der Schauspieler die Rolle des;bösewichts;16;3;27;66;10;66;0,242424242;2,766499917;eh;66;066;eh;s_eh_066p.wav;s_eh_066tw;0,93936731;s_eh_066p.wav;s_eh_066tw_6.wav;Stimuli/s_eh_066p.wav;Stimuli/s_eh_066tw_6.wav;0,762921327
Am ersten Wintertag hatte sein Auto zugefrorene ;Polster;0;;5;44;8;1;0;0,430662857;el_mm;7;007;el;s_el_007p.wav;s_el_mm_007tw;0,502953577;s_el_007p.wav;s_el_mm_007tw_3.wav;Stimuli/s_el_007p.wav;Stimuli/s_el_mm_007tw_3.wav;0,763977094
Das Hochhaus ragte in den;himmel;65;1;2;66;6;72;0,984848485;0,078515764;el;74;074;el;s_el_074p.wav;s_el_074tw;0,775079859;s_el_074p.wav;s_el_074tw_6.wav;Stimuli/s_el_074p.wav;Stimuli/s_el_074tw_6.wav;0,764563294
Immer mehr Jugendliche nehmen leichtsinnigerweise ;Drogen ;43;;2;44;6;25;0,977272727;0,108471339;el;297;297;el;s_el_297p.wav;s_el_297tw;0,4711133;s_el_297p.wav;s_el_297tw_3.wav;Stimuli/s_el_297p.wav;Stimuli/s_el_297tw_3.wav;0,775657808
Im Gefägnis waren Gitter vor den ;Fenstern;49;;3;52;7;24;0,942307692;0,257292008;el;271;271;el;s_el_271p.wav;s_el_271tw;0,123592011;s_el_271p.wav;s_el_271tw_12.wav;Stimuli/s_el_271p.wav;Stimuli/s_el_271tw_12.wav;0,784996476
Sie strengte sich an, aber erkannte keine;muster;8;26;41;67;8;331;0,119402985;3,489619068;eh;400;400;eh;s_eh_400p.wav;s_eh_400tw;0,200478071;s_eh_400p.wav;s_eh_400tw_12.wav;Stimuli/s_eh_400p.wav;Stimuli/s_eh_400tw_12.wav;0,785950388
Der Boxer schlug seinem Gegner auf die;nase;43;9;14;68;8;92;0,632352941;1,433631424;em_hc;95;095;em;s_em_095p.wav;s_em_hc_095tw;0,951020436;s_em_095p.wav;s_em_hc_095tw_6.wav;Stimuli/s_em_095p.wav;Stimuli/s_em_hc_095tw_6.wav;0,78880096
Sie wischte sich den Schweiß von der;stirn;65;4;4;68;8;333;0,955882353;0,22928458;el;402;402;el;s_el_402p.wav;s_el_402tw;0,147395097;s_el_402p.wav;s_el_402tw_12.wav;Stimuli/s_el_402p.wav;Stimuli/s_el_402tw_12.wav;0,791714967
Über Nacht liegt das Kreuzfahrtschiff sicher im;hafen;76;1;1;76;8;21;1;0;el;412;412;el;s_el_412p.wav;s_el_412tw;0,727915007;s_el_412p.wav;s_el_412tw_6.wav;Stimuli/s_el_412p.wav;Stimuli/s_el_412tw_6.wav;0,794668404
Rund um den Garten zog er einen ;gnom;0;;3;53;8;34;0;0,425227591;el_mm;391;391;el;s_el_391p.wav;s_el_mm_391tw;0,021040217;s_el_391p.wav;s_el_mm_391tw_12.wav;Stimuli/s_el_391p.wav;Stimuli/s_el_mm_391tw_12.wav;0,79832841
Im Streit zog das Mädchen seiner Freundin an den;knöpfen;0;1;3;68;10;239;0;0,299468511;el_mm;287;287;el;s_el_287p.wav;s_el_mm_287tw;0,042539697;s_el_287p.wav;s_el_mm_287tw_12.wav;Stimuli/s_el_287p.wav;Stimuli/s_el_mm_287tw_12.wav;0,808851023
Morgens liest mein Vater;Zeitung;37;;4;40;5;27;0,925;0,348780385;el;361;361;el;s_el_361p.wav;s_el_361tw;0,451921037;s_el_361p.wav;s_el_361tw_3.wav;Stimuli/s_el_361p.wav;Stimuli/s_el_361tw_3.wav;0,82380699
Der Schaffner wurde misstrauisch wegen des;tickets;23;23;26;66;7;130;0,348484848;2,63898404;eh;136;136;eh;s_eh_136p.wav;s_eh_136tw;0,877181695;s_eh_136p.wav;s_eh_136tw_6.wav;Stimuli/s_eh_136p.wav;Stimuli/s_eh_136tw_6.wav;0,824983757
Während der Konzerttage spielt die Musikerin ein Stück auf ihrer;geige;23;4;12;68;11;345;0,338235294;1,990518482;em_hc;422;422;em;s_em_422p.wav;s_em_hc_422tw;0,864047883;s_em_422p.wav;s_em_hc_422tw_6.wav;Stimuli/s_em_422p.wav;Stimuli/s_em_hc_422tw_6.wav;0,841224011
Der Wissenschaftler forscht an einem neuen Medikament gegen;krebs;40;8;11;67;9;146;0,597014925;1,415487196;em_hc;158;158;em;s_em_158p.wav;s_em_hc_158tw;0,100430807;s_em_158p.wav;s_em_hc_158tw_12.wav;Stimuli/s_em_158p.wav;Stimuli/s_em_hc_158tw_12.wav;0,864705467
Die Forscherin entdeckt eine neue Pflanzenart im;dschungel;16;7;21;66;8;157;0,242424242;2,51322942;eh;183;183;eh;s_eh_183p.wav;s_eh_183tw;0,048508615;s_eh_183p.wav;s_eh_183tw_12.wav;Stimuli/s_eh_183p.wav;Stimuli/s_eh_183tw_12.wav;0,866352686
Die Kaffeetasse auf dem Tisch hat ein Muster mit;blumen;25;2;26;68;10;167;0,367647059;2,605279363;eh;192;192;eh;s_eh_192p.wav;s_eh_192tw;0,854881305;s_eh_192p.wav;s_eh_192tw_3.wav;Stimuli/s_eh_192p.wav;Stimuli/s_eh_192tw_3.wav;0,869695305
Die weiße Wolke am Himmel sieht aus wie ein;schaf;12;23;30;67;10;188;0,179104478;3,014355621;eh;219;219;eh;s_eh_219p.wav;s_eh_219tw;0,010418134;s_eh_219p.wav;s_eh_219tw_12.wav;Stimuli/s_eh_219p.wav;Stimuli/s_eh_219tw_12.wav;0,871730028
Von dem Lottogewinn kauft er sich ein schnelles;dreirad;0;1;9;65;9;342;0;0,685064362;el_mm;420;420;el;s_el_420p.wav;s_el_mm_420tw;0,140248908;s_el_420p.wav;s_el_mm_420tw_12.wav;Stimuli/s_el_420p.wav;Stimuli/s_el_mm_420tw_12.wav;0,879635488
Daniela gähnte und rieb sich die Augen vor;müdigkeit;72;2;3;75;9;3;0,96;0,193404714;el;62;062;el;s_el_062p.wav;s_el_062tw;0,474308511;s_el_062p.wav;s_el_062tw_3.wav;Stimuli/s_el_062p.wav;Stimuli/s_el_062tw_3.wav;0,883365132
Hinter den sieben Bergen wohnen die sieben;kröten;0;1;1;67;8;206;0;0;el_mm;245;245;el;s_el_245p.wav;s_el_mm_245tw;0,121454219;s_el_245p.wav;s_el_mm_245tw_12.wav;Stimuli/s_el_245p.wav;Stimuli/s_el_mm_245tw_12.wav;0,886862249
Nach vielen Niederlagen steht die Fußballmannschaft kurz vor dem;abstieg;30;1;8;76;10;19;0,394736842;1,354694129;em_hc;382;382;em;s_em_382p.wav;s_em_hc_382tw;0,07876377;s_em_382p.wav;s_em_hc_382tw_12.wav;Stimuli/s_em_382p.wav;Stimuli/s_em_hc_382tw_12.wav;0,901257206
Die junge Frau bat die Bank um einen;kredit;65;2;3;68;9;165;0,955882353;0,208897898;el;188;188;el;s_el_188p.wav;s_el_188tw;0,025561327;s_el_188p.wav;s_el_188tw_12.wav;Stimuli/s_el_188p.wav;Stimuli/s_el_188tw_12.wav;0,907965511
Bei diesem Geräusch denkt Lilli immer an;urlaub;6;41;44;66;8;51;0,090909091;3,637979689;eh;46;046;eh;s_eh_046p.wav;s_eh_046tw;0,679538182;s_eh_046p.wav;s_eh_046tw_3.wav;Stimuli/s_eh_046p.wav;Stimuli/s_eh_046tw_3.wav;0,909176191
