Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_1
Der Wetterbericht warnt vor heftigem;gewitter;15;1;7;58;6;143;0,25862069;1,562372149;em_hc;152;152;em;s_em_152p.wav;s_em_hc_152tw;0,086066911;s_em_152p.wav;s_em_hc_152tw_1.wav;Stimuli/s_em_152p.wav;Stimuli/s_em_hc_152tw_1.wav;0,469998435
Die junge Katze hat Angst vor dem;tod;1;13;16;68;8;166;0,014705882;1,576074887;em_lc;190;190;em;s_em_190p.wav;s_em_lc_190tw;0,496041187;s_em_190p.wav;s_em_lc_190tw_3.wav;Stimuli/s_em_190p.wav;Stimuli/s_em_lc_190tw_3.wav;0,472247624
Die junge Frau bat die Bank um einen;kredit;65;2;3;68;9;165;0,955882353;0,208897898;el;188;188;el;s_el_188p.wav;s_el_188tw;0,025561327;s_el_188p.wav;s_el_188tw_1.wav;Stimuli/s_el_188p.wav;Stimuli/s_el_188tw_1.wav;0,472946084
Der Apfelkuchen war von ausgezeichnetem ;Geschmack ;37;;5;41;6;4;0,902439024;0,454938828;el;86;086;el;s_el_086p.wav;s_el_086tw;0,245719849;s_el_086p.wav;s_el_086tw_3.wav;Stimuli/s_el_086p.wav;Stimuli/s_el_086tw_3.wav;0,474989481
Nach einer anstrengenden Radtour hatte er gro�en Hunger und;angst;0;2;3;66;10;313;0;0,156798419;el_mm;372;372;el;s_el_372p.wav;s_el_mm_372tw;0,601450357;s_el_372p.wav;s_el_mm_372tw_6.wav;Stimuli/s_el_372p.wav;Stimuli/s_el_mm_372tw_6.wav;0,476400984
Die Katze jagt eine Maus im;schuppen;1;11;14;68;7;168;0,014705882;2,060795255;em_lc;193;193;em;s_em_193p.wav;s_em_lc_193tw;0,700428163;s_em_193p.wav;s_em_lc_193tw_6.wav;Stimuli/s_em_193p.wav;Stimuli/s_em_lc_193tw_6.wav;0,478353492
Im Kasino verlor Andr� sein ganzes;korn;0;2;4;76;7;12;0;0,576324579;el_mm;276;276;el;s_el_276p.wav;s_el_mm_276tw;0,237532723;s_el_276p.wav;s_el_mm_276tw_3.wav;Stimuli/s_el_276p.wav;Stimuli/s_el_mm_276tw_3.wav;0,480895121
In dieser Woche hat der Supermarkt ein Angebot f�r;obst;6;25;42;68;10;270;0,088235294;3,579427185;eh;321;321;eh;s_eh_321p.wav;s_eh_321tw;0,917178848;s_eh_321p.wav;s_eh_321tw_12.wav;Stimuli/s_eh_321p.wav;Stimuli/s_eh_321tw_12.wav;0,492470389
In der Gemeinde legen die Mitglieder gro�en Wert auf;sauberkeit;19;15;25;67;10;256;0,28358209;2,659700523;eh;310;310;eh;s_eh_310p.wav;s_eh_310tw;0,889998667;s_eh_310p.wav;s_eh_310tw_12.wav;Stimuli/s_eh_310p.wav;Stimuli/s_eh_310tw_12.wav;0,496784014
Von dem Lottogewinn kauft er sich ein schnelles;dreirad;0;1;9;65;9;342;0;0,685064362;el_mm;420;420;el;s_el_420p.wav;s_el_mm_420tw;0,140248908;s_el_420p.wav;s_el_mm_420tw_1.wav;Stimuli/s_el_420p.wav;Stimuli/s_el_mm_420tw_1.wav;0,505224868
Die Spazierg�nger verirrten sich im;klo;0;8;8;68;6;182;0;0,67464194;el_mm;211;211;el;s_el_211p.wav;s_el_mm_211tw;0,750335447;s_el_211p.wav;s_el_mm_211tw_12.wav;Stimuli/s_el_211p.wav;Stimuli/s_el_mm_211tw_12.wav;0,506252606
Ihr Kleid war aus reiner ;Seide;42;;2;44;6;22;0,954545455;0,184907399;el;261;261;el;s_el_261p.wav;s_el_261tw;0,893701065;s_el_261p.wav;s_el_261tw_12.wav;Stimuli/s_el_261p.wav;Stimuli/s_el_261tw_12.wav;0,520064486
Die Bewohner bemerkten den Einbruch erst am n�chsten ;Wall;0;;2;44;9;13;0;0,641636632;el_mm;170;170;el;s_el_170p.wav;s_el_mm_170tw;0,696446745;s_el_170p.wav;s_el_mm_170tw_12.wav;Stimuli/s_el_170p.wav;Stimuli/s_el_mm_170tw_12.wav;0,527678212
Der Sicherheitsbeauftragte entdeckte gro�e M�ngel bei den;t�ren;4;45;49;67;8;133;0,059701493;3,759634712;eh;139;139;eh;s_eh_139p.wav;s_eh_139tw;0,861839087;s_eh_139p.wav;s_eh_139tw_12.wav;Stimuli/s_eh_139p.wav;Stimuli/s_eh_139tw_12.wav;0,53368059
Aus dem Tresor stehlen die Bankr�uber wertvolle;diamanten;8;5;26;65;8;43;0,123076923;2,981211014;eh;40;040;eh;s_eh_040p.wav;s_eh_040tw;0,004936903;s_eh_040p.wav;s_eh_040tw_1.wav;Stimuli/s_eh_040p.wav;Stimuli/s_eh_040tw_1.wav;0,534984938
In seinem alten Kinderzimmer suchte er nach seinem;teddy;9;35;39;67;9;277;0,134328358;3,363602743;eh;330;330;eh;s_eh_330p.wav;s_eh_330tw;0,36094196;s_eh_330p.wav;s_eh_330tw_3.wav;Stimuli/s_eh_330p.wav;Stimuli/s_eh_330tw_3.wav;0,536800664
Auf ihre Spaghetti reibt sie sich;tr�ffel;1;4;4;68;7;38;0,014705882;0,809706241;em_lc;33;033;em;s_em_033p.wav;s_em_lc_033tw;0,46463424;s_em_033p.wav;s_em_lc_033tw_3.wav;Stimuli/s_em_033p.wav;Stimuli/s_em_lc_033tw_3.wav;0,54367633
Der junge Mann tr�gt die Last auf seinen;n�geln;0;2;2;66;9;113;0;0,228631874;el_mm;120;120;el;s_el_120p.wav;s_el_mm_120tw;0,802588727;s_el_120p.wav;s_el_mm_120tw_12.wav;Stimuli/s_el_120p.wav;Stimuli/s_el_mm_120tw_12.wav;0,549464233
Viola stand vor der geschlossenen T�r und dr�ckte die;klingel;38;2;4;76;10;23;0,5;0,932112882;em_hc;418;418;em;s_em_418p.wav;s_em_hc_418tw;0,984991446;s_em_418p.wav;s_em_hc_418tw_12.wav;Stimuli/s_em_418p.wav;Stimuli/s_em_hc_418tw_12.wav;0,556600337
Ihre H�nde waren ganz wund vom;putzen;9;7;28;68;7;218;0,132352941;2,884835511;eh;265;265;eh;s_eh_265p.wav;s_eh_265tw;0,462552297;s_eh_265p.wav;s_eh_265tw_3.wav;Stimuli/s_eh_265p.wav;Stimuli/s_eh_265tw_3.wav;0,562016016
Am Montag h�lt Karim ein Referat �ber;tiere;4;52;58;67;8;9;0,059701493;3,997783013;eh;10;010;eh;s_eh_010p.wav;s_eh_010tw;0,231716919;s_eh_010p.wav;s_eh_010tw_3.wav;Stimuli/s_eh_010p.wav;Stimuli/s_eh_010tw_3.wav;0,564116256
Wir treffen uns heute Nachmittag im;foyer;1;4;12;68;7;352;0,014705882;1,773827067;em_lc;429;429;em;s_em_429p.wav;s_em_lc_429tw;0,420344955;s_em_429p.wav;s_em_lc_429tw_3.wav;Stimuli/s_em_429p.wav;Stimuli/s_em_lc_429tw_3.wav;0,574168281
Heimlich stahl das kleine M�dchen aus der Handtasche der Mutter eine;m�nze;21;18;32;68;12;204;0,308823529;2,797303444;eh;242;242;eh;s_eh_242p.wav;s_eh_242tw;0,8066622;s_eh_242p.wav;s_eh_242tw_6.wav;Stimuli/s_eh_242p.wav;Stimuli/s_eh_242tw_6.wav;0,575572633
Ganz hinten unter der Decke liegt ein;kissen;15;13;29;68;8;200;0,220588235;2,865993412;eh;239;239;eh;s_eh_239p.wav;s_eh_239tw;0,396161484;s_eh_239p.wav;s_eh_239tw_3.wav;Stimuli/s_eh_239p.wav;Stimuli/s_eh_239tw_3.wav;0,582089881
Ich gehe zum Fahrradladen und hole eine;pumpe;34;8;13;63;8;209;0,53968254;1,525829171;em_hc;249;249;em;s_em_249p.wav;s_em_hc_249tw;0,519045471;s_em_249p.wav;s_em_hc_249tw_6.wav;Stimuli/s_em_249p.wav;Stimuli/s_em_hc_249tw_6.wav;0,584259533
Das Hochhaus ragte in den;himmel;65;1;2;66;6;72;0,984848485;0,078515764;el;74;074;el;s_el_074p.wav;s_el_074tw;0,775079859;s_el_074p.wav;s_el_074tw_12.wav;Stimuli/s_el_074p.wav;Stimuli/s_el_074tw_12.wav;0,58646341
Meine Schwester studiert Medizin an der;universit�t;49;6;6;67;7;296;0,731343284;0,974417802;em_hc;354;354;em;s_em_354p.wav;s_em_hc_354tw;0,055949994;s_em_354p.wav;s_em_hc_354tw_1.wav;Stimuli/s_em_354p.wav;Stimuli/s_em_hc_354tw_1.wav;0,59780777
Der Spion lauscht bei einem Gespr�ch �ber die;politik;8;35;55;68;9;135;0,117647059;3,844852607;eh;143;143;eh;s_eh_143p.wav;s_eh_143tw;0,533327681;s_eh_143p.wav;s_eh_143tw_6.wav;Stimuli/s_eh_143p.wav;Stimuli/s_eh_143tw_6.wav;0,611240851
Zu ihrem Kleid trug sie passende;kr�ge;0;4;8;67;7;353;0;0,648300331;el_mm;431;431;el;s_el_431p.wav;s_el_mm_431tw;0,725487985;s_el_431p.wav;s_el_mm_431tw_12.wav;Stimuli/s_el_431p.wav;Stimuli/s_el_mm_431tw_12.wav;0,612776765
Der Boxer schlug seinem Gegner auf die;nase;43;9;14;68;8;92;0,632352941;1,433631424;em_hc;95;095;em;s_em_095p.wav;s_em_hc_095tw;0,951020436;s_em_095p.wav;s_em_hc_095tw_12.wav;Stimuli/s_em_095p.wav;Stimuli/s_em_hc_095tw_12.wav;0,613584633
Mit dem 3-D Drucker fertigt Marius eine;skulptur;9;28;35;65;8;299;0,138461538;3,234490725;eh;356;356;eh;s_eh_356p.wav;s_eh_356tw;0,970975414;s_eh_356p.wav;s_eh_356tw_12.wav;Stimuli/s_eh_356p.wav;Stimuli/s_eh_356tw_12.wav;0,627061806
Nach den vielen Stufen war sie au�er;atem;53;1;4;66;8;309;0,803030303;0,601740811;el;368;368;el;s_el_368p.wav;s_el_368tw;0,506928222;s_el_368p.wav;s_el_368tw_6.wav;Stimuli/s_el_368p.wav;Stimuli/s_el_368tw_6.wav;0,62926892
In der Jugendherberge �bernachten viele;frauen;1;2;12;67;6;257;0,014925373;1,764350618;em_lc;311;311;em;s_em_311p.wav;s_em_lc_311tw;0,20680023;s_em_311p.wav;s_em_lc_311tw_1.wav;Stimuli/s_em_311p.wav;Stimuli/s_em_lc_311tw_1.wav;0,630808735
Die Maus knabberte an einem St�ck;k�se;62;2;5;66;7;176;0,939393939;0,312649714;el;204;204;el;s_el_204p.wav;s_el_204tw;0,513025579;s_el_204p.wav;s_el_204tw_6.wav;Stimuli/s_el_204p.wav;Stimuli/s_el_204tw_6.wav;0,631567118
Nach dem Essen bezahlte er die ;zweige;0;;4;43;7;28;0;0,482110283;el_mm;363;363;el;s_el_363p.wav;s_el_mm_363tw;0,258799358;s_el_363p.wav;s_el_mm_363tw_3.wav;Stimuli/s_el_363p.wav;Stimuli/s_el_mm_363tw_3.wav;0,632991559
Im Gef�gnis waren Gitter vor den ;Fenstern;49;;3;52;7;24;0,942307692;0,257292008;el;271;271;el;s_el_271p.wav;s_el_271tw;0,123592011;s_el_271p.wav;s_el_271tw_1.wav;Stimuli/s_el_271p.wav;Stimuli/s_el_271tw_1.wav;0,636200697
N�chstes Jahr kommt mein kleiner Sohn schon in die ;Miene;0;;2;47;10;30;0;0,10296666;el_mm;384;384;el;s_el_384p.wav;s_el_mm_384tw;0,105955023;s_el_384p.wav;s_el_mm_384tw_1.wav;Stimuli/s_el_384p.wav;Stimuli/s_el_mm_384tw_1.wav;0,648050246
Die U-Bahn am Marienplatz war voller;ratten;1;12;17;66;7;185;0,015151515;1,642563515;em_lc;213;213;em;s_em_213p.wav;s_em_lc_213tw;0,407193726;s_em_213p.wav;s_em_lc_213tw_3.wav;Stimuli/s_em_213p.wav;Stimuli/s_em_lc_213tw_3.wav;0,654891313
In London entwarf die Stararchitektin ein neues;geb�ude;25;6;13;65;8;276;0,384615385;1,80582233;em_hc;328;328;em;s_em_328p.wav;s_em_hc_328tw;0,60646014;s_em_328p.wav;s_em_hc_328tw_6.wav;Stimuli/s_em_328p.wav;Stimuli/s_em_hc_328tw_6.wav;0,660552929
Auf der Stra�e repariert der Bauarbeiter ein;tor;1;17;17;65;8;33;0,015384615;2,083047987;em_lc;28;028;em;s_em_028p.wav;s_em_lc_028tw;0,740978399;s_em_028p.wav;s_em_lc_028tw_12.wav;Stimuli/s_em_028p.wav;Stimuli/s_em_lc_028tw_12.wav;0,661143227
Im Streit zog das M�dchen seiner Freundin an den;kn�pfen;0;1;3;68;10;239;0;0,299468511;el_mm;287;287;el;s_el_287p.wav;s_el_mm_287tw;0,042539697;s_el_287p.wav;s_el_mm_287tw_1.wav;Stimuli/s_el_287p.wav;Stimuli/s_el_mm_287tw_1.wav;0,665458541
Die K�chin w�rzte das Essen mit;ingwer;1;5;14;68;7;172;0,014705882;1,465469918;em_lc;200;200;em;s_em_200p.wav;s_em_lc_200tw;0,050490691;s_em_200p.wav;s_em_lc_200tw_1.wav;Stimuli/s_em_200p.wav;Stimuli/s_em_lc_200tw_1.wav;0,666069501
Heute gab es zu den Kartoffeln nur;quark;13;15;23;64;8;205;0,203125;2,730844775;eh;244;244;eh;s_eh_244p.wav;s_eh_244tw;0,716698017;s_eh_244p.wav;s_eh_244tw_6.wav;Stimuli/s_eh_244p.wav;Stimuli/s_eh_244tw_6.wav;0,667362547
Ich trinke gerne ein Glas Wein zum;tee;1;11;12;68;8;214;0,014705882;1,422135119;em_lc;255;255;em;s_em_255p.wav;s_em_lc_255tw;0,965771392;s_em_255p.wav;s_em_lc_255tw_12.wav;Stimuli/s_em_255p.wav;Stimuli/s_em_lc_255tw_12.wav;0,668320544
Der Winter ist die beste Zeit zum;skifahren;29;12;14;66;8;145;0,439393939;1,878044805;em_hc;154;154;em;s_em_154p.wav;s_em_hc_154tw;0,825364565;s_em_154p.wav;s_em_hc_154tw_12.wav;Stimuli/s_em_154p.wav;Stimuli/s_em_hc_154tw_12.wav;0,679481142
Im Hochsommer erntet der Imker den heimischen;spargel;0;1;2;73;8;11;0;0,07237779;el_mm;273;273;el;s_el_273p.wav;s_el_mm_273tw;0,927414272;s_el_273p.wav;s_el_mm_273tw_12.wav;Stimuli/s_el_273p.wav;Stimuli/s_el_mm_273tw_12.wav;0,681154148
Nach vielen Niederlagen steht die Fu�ballmannschaft kurz vor dem;abstieg;30;1;8;76;10;19;0,394736842;1,354694129;em_hc;382;382;em;s_em_382p.wav;s_em_hc_382tw;0,07876377;s_em_382p.wav;s_em_hc_382tw_1.wav;Stimuli/s_em_382p.wav;Stimuli/s_em_hc_382tw_1.wav;0,686240953
In der Menschenmenge erkannte mich meine;chefin;1;1;16;67;7;260;0,014925373;1,958237695;em_lc;313;313;em;s_em_313p.wav;s_em_lc_313tw;0,754681961;s_em_313p.wav;s_em_lc_313tw_12.wav;Stimuli/s_em_313p.wav;Stimuli/s_em_lc_313tw_12.wav;0,687106986
Auf jedem Bild in dieser Galerie findet sich ein;hund;5;14;40;64;10;40;0,078125;3,501161616;eh;36;036;eh;s_eh_036p.wav;s_eh_036tw;0,958373526;s_eh_036p.wav;s_eh_036tw_12.wav;Stimuli/s_eh_036p.wav;Stimuli/s_eh_036tw_12.wav;0,689278902
In der Schwangerschaft a� sie besonders gerne;gurken;16;14;30;67;8;266;0,23880597;2,825803424;eh;319;319;eh;s_eh_319p.wav;s_eh_319tw;0,350488636;s_eh_319p.wav;s_eh_319tw_3.wav;Stimuli/s_eh_319p.wav;Stimuli/s_eh_319tw_3.wav;0,691134553
Der Verd�chtige f�llt besonders auf durch seinen;bart;13;4;20;62;8;138;0,209677419;2,588731422;eh;147;147;eh;s_eh_147p.wav;s_eh_147tw;0,149614366;s_eh_147p.wav;s_eh_147tw_1.wav;Stimuli/s_eh_147p.wav;Stimuli/s_eh_147tw_1.wav;0,696543712
Hinter den sieben Bergen wohnen die sieben;kr�ten;0;1;1;67;8;206;0;0;el_mm;245;245;el;s_el_245p.wav;s_el_mm_245tw;0,121454219;s_el_245p.wav;s_el_mm_245tw_1.wav;Stimuli/s_el_245p.wav;Stimuli/s_el_mm_245tw_1.wav;0,697768055
W�hrend einer Verfolgungsjagd floh der Verd�chtige mit einem;auto;34;1;21;68;9;346;0,5;2,093346239;em_hc;424;424;em;s_em_424p.wav;s_em_hc_424tw;0,438226208;s_em_424p.wav;s_em_hc_424tw_3.wav;Stimuli/s_em_424p.wav;Stimuli/s_em_hc_424tw_3.wav;0,697810684
Trotz der aussichtslosen Situation verliert Laura nicht die;hoffnung;37;4;11;76;9;20;0,486842105;1,641781405;em_hc;404;404;em;s_em_404p.wav;s_em_hc_404tw;0,331447285;s_em_404p.wav;s_em_hc_404tw_3.wav;Stimuli/s_em_404p.wav;Stimuli/s_em_hc_404tw_3.wav;0,699233093
Inspiriert von ihrem neuen Buch begann sie mit dem;h�keln;1;3;18;68;10;282;0,014705882;1,933184099;em_lc;336;336;em;s_em_336p.wav;s_em_lc_336tw;0,551861132;s_em_336p.wav;s_em_lc_336tw_3.wav;Stimuli/s_em_336p.wav;Stimuli/s_em_lc_336tw_3.wav;0,704912929
Beim Wandern finden sie auf dem Weg eine;schlange;9;31;37;67;9;63;0,134328358;3,317582105;eh;58;058;eh;s_eh_058p.wav;s_eh_058tw;0,186642817;s_eh_058p.wav;s_eh_058tw_1.wav;Stimuli/s_eh_058p.wav;Stimuli/s_eh_058tw_1.wav;0,723736271
Er spaltete das Holz mit einer gro�en ;Axt;43;;1;43;8;19;1;0;el;227;227;el;s_el_227p.wav;s_el_227tw;0,366795416;s_el_227p.wav;s_el_227tw_3.wav;Stimuli/s_el_227p.wav;Stimuli/s_el_227tw_3.wav;0,755338139
Die DDR baute 1961 in Berlin die;Fabrik;0;;1;44;8;14;0;0;el_mm;174;174;el;s_el_174p.wav;s_el_mm_174tw;0,368285308;s_el_174p.wav;s_el_mm_174tw_3.wav;Stimuli/s_el_174p.wav;Stimuli/s_el_mm_174tw_3.wav;0,756503519
Der Vogel im Baum singt ein sch�nes;lied;64;2;4;67;8;140;0,955223881;0,232028182;el;148;148;el;s_el_148p.wav;s_el_148tw;0,412099012;s_el_148p.wav;s_el_148tw_3.wav;Stimuli/s_el_148p.wav;Stimuli/s_el_148tw_3.wav;0,761319183
Der Arzt bem�hte sich sehr um seinen ;Schnellkochtopf;0;;3;47;8;5;0;0,20547075;el_mm;88;088;el;s_el_088p.wav;s_el_mm_088tw;0,440421907;s_el_088p.wav;s_el_mm_088tw_3.wav;Stimuli/s_el_088p.wav;Stimuli/s_el_mm_088tw_3.wav;0,768922941
Der Winter war sehr hart in diesem ;schal;0;;1;44;8;10;0;0;el_mm;156;156;el;s_el_156p.wav;s_el_mm_156tw;0,644205426;s_el_156p.wav;s_el_mm_156tw_12.wav;Stimuli/s_el_156p.wav;Stimuli/s_el_mm_156tw_12.wav;0,771659489
Der D�nger n�hrt den ;delfin;0;;3;40;5;6;0;0,233172602;el_mm;98;098;el;s_el_098p.wav;s_el_mm_098tw;0,450293263;s_el_098p.wav;s_el_mm_098tw_3.wav;Stimuli/s_el_098p.wav;Stimuli/s_el_mm_098tw_3.wav;0,773873107
Das Tropfen des Wasserhahns hinterlie� einen dunkeln;klang;1;5;13;68;8;83;0,014705882;1,411263519;em_lc;79;079;em;s_em_079p.wav;s_em_lc_079tw;0,166424838;s_em_079p.wav;s_em_lc_079tw_1.wav;Stimuli/s_em_079p.wav;Stimuli/s_em_lc_079tw_1.wav;0,778802739
Der Fuchs lauerte hinter einem;garten;1;7;19;68;6;101;0,014705882;2,021220008;em_lc;111;111;em;s_em_111p.wav;s_em_lc_111tw;0,253010102;s_em_111p.wav;s_em_lc_111tw_1.wav;Stimuli/s_em_111p.wav;Stimuli/s_em_lc_111tw_1.wav;0,781979916
Zum 20-j�hrigen Jubil�um bekam die Sekr�terin von ihrem Chef eine Schachtel;pralinen;56;3;5;67;12;356;0,835820896;0,591928037;el;435;435;el;s_el_435p.wav;s_el_435tw;0,199543531;s_el_435p.wav;s_el_435tw_1.wav;Stimuli/s_el_435p.wav;Stimuli/s_el_435tw_1.wav;0,784131141
Bei einem Strandspaziergang entdeckten sie am Ufer einen;wal;11;31;31;67;9;52;0,164179104;3,090458648;eh;47;047;eh;s_eh_047p.wav;s_eh_047tw;0,243020308;s_eh_047p.wav;s_eh_047tw_3.wav;Stimuli/s_eh_047p.wav;Stimuli/s_eh_047tw_3.wav;0,784155578
Der Feuerl�scher befindet sich neben der;scheune;1;8;12;66;7;97;0,015151515;1,18929533;em_lc;104;104;em;s_em_104p.wav;s_em_lc_104tw;0,914091226;s_em_104p.wav;s_em_lc_104tw_12.wav;Stimuli/s_em_104p.wav;Stimuli/s_em_lc_104tw_12.wav;0,790607619
Ich schreibe einen langen Brief an meine;cousine;1;2;10;66;8;211;0,015151515;1,67368163;em_lc;251;251;em;s_em_251p.wav;s_em_lc_251tw;0,305190272;s_em_251p.wav;s_em_lc_251tw_1.wav;Stimuli/s_em_251p.wav;Stimuli/s_em_lc_251tw_1.wav;0,795440058
Beim Skifahren brach sich J�rg das ;Bein ;40;;4;44;7;2;0,909090909;0,399156167;el;54;054;el;s_el_054p.wav;s_el_054tw;0,254244818;s_el_054p.wav;s_el_054tw_3.wav;Stimuli/s_el_054p.wav;Stimuli/s_el_054tw_3.wav;0,800543215
�ber das Feld rennt ein;soldat;1;14;16;68;6;337;0,014705882;1,879718879;em_lc;408;408;em;s_em_408p.wav;s_em_lc_408tw;0,660013386;s_em_408p.wav;s_em_lc_408tw_6.wav;Stimuli/s_em_408p.wav;Stimuli/s_em_lc_408tw_6.wav;0,819443825
F�r ihren runden Geburtstag bestellt Johanna in der Konditorei eine;glocke;0;3;3;76;11;10;0;0,139933118;el_mm;237;237;el;s_el_237p.wav;s_el_mm_237tw;0,535153734;s_el_237p.wav;s_el_mm_237tw_6.wav;Stimuli/s_el_237p.wav;Stimuli/s_el_mm_237tw_6.wav;0,822606638
Am liebsten liest sie Fantasy-Romane �ber;drachen;13;3;28;66;7;8;0,196969697;2,933257173;eh;9;009;eh;s_eh_009p.wav;s_eh_009tw;0,726604075;s_eh_009p.wav;s_eh_009tw_6.wav;Stimuli/s_eh_009p.wav;Stimuli/s_eh_009tw_6.wav;0,829646095
Im Zoo sprang die Robbe durch einen;reifen;42;3;7;76;8;13;0,552631579;1,019284069;em_hc;295;295;em;s_em_295p.wav;s_em_hc_295tw;0,938798487;s_em_295p.wav;s_em_hc_295tw_12.wav;Stimuli/s_em_295p.wav;Stimuli/s_em_hc_295tw_12.wav;0,832794414
Nach einer Schreibblockade vollendete der Autor seinen;roman;44;7;9;67;8;317;0,656716418;1,286343381;em_hc;377;377;em;s_em_377p.wav;s_em_hc_377tw;0,469856225;s_em_377p.wav;s_em_hc_377tw_6.wav;Stimuli/s_em_377p.wav;Stimuli/s_em_hc_377tw_6.wav;0,839617112
Die wei�e Wolke am Himmel sieht aus wie ein;schaf;12;23;30;67;10;188;0,179104478;3,014355621;eh;219;219;eh;s_eh_219p.wav;s_eh_219tw;0,010418134;s_eh_219p.wav;s_eh_219tw_1.wav;Stimuli/s_eh_219p.wav;Stimuli/s_eh_219tw_1.wav;0,839737858
Frau Martin stellten den b�sen Sch�ler in die ;Grube;0;;2;47;9;21;0;0,10296666;el_mm;231;231;el;s_el_231p.wav;s_el_mm_231tw;0,937193866;s_el_231p.wav;s_el_mm_231tw_12.wav;Stimuli/s_el_231p.wav;Stimuli/s_el_mm_231tw_12.wav;0,841541778
Am ersten Wintertag hatte sein Auto zugefrorene ;Polster;0;;5;44;8;1;0;0,430662857;el_mm;7;007;el;s_el_007p.wav;s_el_mm_007tw;0,502953577;s_el_007p.wav;s_el_mm_007tw_6.wav;Stimuli/s_el_007p.wav;Stimuli/s_el_mm_007tw_6.wav;0,841618559
Der Klempner reinigte das verstopfte;rohr;63;4;5;75;6;6;0,84;0,631485769;el;125;125;el;s_el_125p.wav;s_el_125tw;0,71580038;s_el_125p.wav;s_el_125tw_12.wav;Stimuli/s_el_125p.wav;Stimuli/s_el_125tw_12.wav;0,845559984
Das Wachs tropft von der brennenden;kerze;75;2;2;76;7;4;0,986842105;0,070054281;el;81;081;el;s_el_081p.wav;s_el_081tw;0,529412796;s_el_081p.wav;s_el_081tw_6.wav;Stimuli/s_el_081p.wav;Stimuli/s_el_081tw_6.wav;0,850581794
Am Abend verbrachte sie gern noch Zeit mit ihren;hasen;1;5;9;50;10;4;0,02;1,585504266;em_lc;4;004;em;s_em_004p.wav;s_em_lc_004tw;0,505231342;s_em_004p.wav;s_em_lc_004tw_3.wav;Stimuli/s_em_004p.wav;Stimuli/s_em_lc_004tw_3.wav;0,85196583
Nach einer langen Autofahrt erreichte die Familie endlich das;ziel;53;8;8;68;10;315;0,779411765;0,933840517;em_hc;375;375;em;s_em_375p.wav;s_em_hc_375tw;0,289829413;s_em_375p.wav;s_em_hc_375tw_3.wav;Stimuli/s_em_375p.wav;Stimuli/s_em_hc_375tw_3.wav;0,866326853
Der Streit zwischen den Nachbarn entstand wegen einer;kleinigkeit;14;14;27;68;9;137;0,205882353;2,741549786;eh;144;144;eh;s_eh_144p.wav;s_eh_144tw;0,186984092;s_eh_144p.wav;s_eh_144tw_1.wav;Stimuli/s_eh_144p.wav;Stimuli/s_eh_144tw_1.wav;0,87063356
Bei Nacht spendet die Stra�enlaterne helles;licht;68;1;1;68;7;53;1;0;el;48;048;el;s_el_048p.wav;s_el_048tw;0,809266629;s_el_048p.wav;s_el_048tw_12.wav;Stimuli/s_el_048p.wav;Stimuli/s_el_048tw_12.wav;0,886649288
In seiner Werkstatt fertigt der Schmied ein eisernes;schwert;27;9;11;66;9;281;0,409090909;1,730942683;em_hc;332;332;em;s_em_332p.wav;s_em_hc_332tw;0,601463755;s_em_332p.wav;s_em_hc_332tw_6.wav;Stimuli/s_em_332p.wav;Stimuli/s_em_hc_332tw_6.wav;0,889113607
Mein Vater durchsucht den Werkzeugkasten nach einer;zange;28;13;13;67;8;293;0,417910448;1,699390604;em_hc;350;350;em;s_em_350p.wav;s_em_hc_350tw;0,038315414;s_em_350p.wav;s_em_hc_350tw_1.wav;Stimuli/s_em_350p.wav;Stimuli/s_em_hc_350tw_1.wav;0,889795093
Daniela g�hnte und rieb sich die Augen vor;m�digkeit;72;2;3;75;9;3;0,96;0,193404714;el;62;062;el;s_el_062p.wav;s_el_062tw;0,474308511;s_el_062p.wav;s_el_062tw_6.wav;Stimuli/s_el_062p.wav;Stimuli/s_el_062tw_6.wav;0,890186129
Im Labor untersuchten die Wissenschaftler die;proben;15;19;31;68;7;233;0,220588235;2,98772207;eh;281;281;eh;s_eh_281p.wav;s_eh_281tw;0,786245715;s_eh_281p.wav;s_eh_281tw_6.wav;Stimuli/s_eh_281p.wav;Stimuli/s_eh_281tw_6.wav;0,895550128
Der Zug lag noch gut in der ;Zeit;50;;3;53;8;12;0,943396226;0,253547675;el;162;162;el;s_el_162p.wav;s_el_162tw;0,495998612;s_el_162p.wav;s_el_162tw_6.wav;Stimuli/s_el_162p.wav;Stimuli/s_el_162tw_6.wav;0,903514965
Rund um den Garten zog er einen ;gnom;0;;3;53;8;34;0;0,425227591;el_mm;391;391;el;s_el_391p.wav;s_el_mm_391tw;0,021040217;s_el_391p.wav;s_el_mm_391tw_1.wav;Stimuli/s_el_391p.wav;Stimuli/s_el_mm_391tw_1.wav;0,904971545
Ich verbringe meine Ferien gerne am;weiher;1;6;6;67;7;215;0,014925373;1,176330127;em_lc;257;257;em;s_em_257p.wav;s_em_lc_257tw;0,866047604;s_em_257p.wav;s_em_lc_257tw_12.wav;Stimuli/s_em_257p.wav;Stimuli/s_em_lc_257tw_12.wav;0,907737359
